nuclide,Thalf,unit,half life ICRP,halflifeInS_OILS
H-3,12.32,y,12.35,3.89E+08
Be-7,53.22,d,53.3,4.60E+06
C-11,20.39,m,20.38,1.22E+03
C-14,5700,y,5730,1.80E+11
F-18,109.77,m,109.77,6.59E+03
Na-22,2.6,y,2.602,8.21E+07
Na-24,14.96,h,15,5.39E+04
Mg-28+,20.92,h,20.91,7.53E+04
Al-26,717000,y,716000,2.26E+13
Si-32+,132,y,450,4.16E+09
P-32,14.26,d,14.29,1.23E+06
P-33,25.34,d,25.4,2.19E+06
S-35,87.51,d,87.44,7.56E+06
Cl-36,301000,y,301000,9.49E+12
K-42,12.36,h,12.36,4.45E+04
Sc-47,3.35,d,3.351,2.89E+05
V-48,15.97,d,16.238,1.38E+06
V-49,330,d,330,2.85E+07
Cr-51,27.7,d,27.704,2.39E+06
Fe-52+,8.28,h,8.275,2.98E+04
Fe-55,2.74,y,2.7,8.63E+07
Fe-59,44.5,d,44.529,3.84E+06
Co-57,271.74,d,270.9,2.35E+07
Co-60,5.27,y,5.271,1.66E+08
Ni-63,100.1,y,96,3.16E+09
Cu-64,12.7,h,12.701,4.57E+04
Cu-67,61.83,h,61.86,2.23E+05
Zn-65,244.06,d,243.9,2.11E+07
Ga-67,3.26,d,3.2608333333,2.82E+05
Ga-68,67.71,m,68,4.06E+03
Ge-68+,270.95,d,288,2.34E+07
As-72,26,h,26,9.36E+04
As-73,80.3,d,80.3,6.94E+06
Se-75,119.78,d,119.8,1.03E+07
Kr-85,10.76,y,10.72,3.39E+08
Rb-83,86.2,d,86.2,7.45E+06
Sr-82,25.36,d,25,2.19E+06
Sr-85,64.84,d,64.84,5.60E+06
Sr-89,50.53,d,50.5,4.37E+06
Sr-90+,28.79,y,29.12,9.08E+08
Y-88,106.65,d,106.64,9.21E+06
Y-90,64.1,h,64,2.31E+05
Y-91,58.51,d,58.51,5.06E+06
Zr-88,83.4,d,83.4,7.21E+06
Zr-95+,64.03,d,63.98,5.53E+06
Nb-95,34.99,d,35.15,3.02E+06
Mo-99+,65.94,h,66,2.37E+05
Tc-95m+,61,d,61,5.27E+06
Tc-96,4.28,d,4.28,3.70E+05
Tc-99,211100,y,213000,6.66E+12
Tc-99m,6.02,h,6.02,2.17E+04
Ru-97,2.9,d,2.9,2.51E+05
Ru-103+,39.26,d,39.28,3.39E+06
Ru-106+,373.59,d,368.2,3.23E+07
Rh-105,35.36,h,35.36,1.27E+05
Pd-103+,16.99,d,16.96,1.47E+06
Pd-109+,13.7,h,13.427,4.93E+04
Ag-111,7.45,d,7.45,6.44E+05
Cd-109+,461.4,d,464,3.99E+07
In-111,2.8,d,2.83,2.42E+05
Sn-117m,13.76,d,13.61,1.19E+06
Sb-124,60.2,d,60.2,5.20E+06
Te-123m,119.25,d,119.7,1.03E+07
Te-132+,3.2,d,3.2583333333,2.77E+05
I-123,13.27,h,13.2,4.78E+04
I-124,4.18,d,4.18,3.61E+05
I-125,59.4,d,60.14,5.13E+06
I-129,15700000,y,15700000,4.95E+14
I-131,8.02,d,8.04,6.93E+05
Xe-127,36.4,d,36.41,3.14E+06
Xe-133,5.24,d,5.245,4.53E+05
Cs-131,9.69,d,9.69,8.37E+05
Cs-134,2.06,y,2.062,6.51E+07
Cs-137+,30.17,y,30,9.51E+08
Ba-133,10.52,y,10.74,3.32E+08
Ce-141,32.51,d,32.501,2.81E+06
Ce-144+,284.91,d,284.3,2.46E+07
Pr-143,13.57,d,13.56,1.17E+06
Pm-147,2.62,y,2.6234,8.27E+07
Pm-149,53.08,h,53.08,1.91E+05
Sm-153,46.5,h,46.7,1.67E+05
Eu-152,13.54,y,13.33,4.27E+08
Eu-154,8.59,y,8.8,2.71E+08
Gd-148,74.6,y,93,2.35E+09
Gd-153,240.4,d,242,2.08E+07
Dy-165,2.33,h,2.334,8.40E+03
Dy-166+,81.6,h,81.6,2.94E+05
Ho-166,26.8,h,26.8,9.65E+04
Ho-166m,1200,y,1200,3.78E+10
Er-169,9.4,d,9.3,8.12E+05
Tm-170,128.6,d,128.6,1.11E+07
Yb-169,32.03,d,32.01,2.77E+06
Yb-175,4.19,d,4.19,3.62E+05
Lu-177,6.65,d,6.71,5.74E+05
