,nuclide,Thalf,unit,half life ICRP,halflifeInS_OILS,halflife,DecayConst,OILDecayConst,comparison
0,H-3,12.32,y,12.35,389000000.0,388523520.0,1.7840546192929202e-09,1.7840546192929202e-09,true
1,Be-7,53.22,d,53.3,4600000.0,4598208.0,1.507428938751673e-07,1.5074289387516699e-07,true
2,C-11,20.39,m,20.38,1220.0,1223.4,0.0005665744487166464,0.0005665744000000001,true
3,C-14,5700.0,y,5730.0,180000000000.0,179755200000.0,3.856061913980487e-12,3.8560619139804904e-12,true
4,F-18,109.77,m,109.77,6590.0,6586.2,0.00010524235227596267,0.0001052424,true
5,Na-22,2.6,y,2.602,82100000.0,81993600.0,8.453674196034145e-09,8.44750102221022e-09,true
6,Na-24,14.96,h,15.0,53900.0,53856.0,1.2870379912357867e-05,1.2871240289382598e-05,true
7,Mg-28+,20.92,h,20.91,75300.0,75312.0,9.203675118971018e-06,9.20587537599205e-06,true
8,Al-26,717000.0,y,716000.0,22600000000000.0,22611312000000.0,3.065488550863149e-14,3.06548855086315e-14,true
9,Si-32+,132.0,y,450.0,4160000000.0,4162752000.0,1.6651176446733922e-10,1.6651176446733902e-10,true
10,P-32,14.26,d,14.29,1230000.0,1232064.0,5.625902392732401e-07,5.62471907174956e-07,true
11,P-33,25.34,d,25.4,2190000.0,2189376.0,3.165957700093293e-07,3.16595770009329e-07,true
12,S-35,87.51,d,87.44,7560000.0,7560864.0,9.167565777667014e-08,9.16756577766701e-08,true
13,Cl-36,301000.0,y,301000.0,9490000000000.0,9492336000000.0,7.302177046408231e-14,7.302177046408231e-14,true
14,K-42,12.36,h,12.36,44500.0,44495.99999999999,1.557774138259496e-05,1.5577741382595e-05,true
15,Sc-47,3.35,d,3.3510000000000004,289000.0,289440.0,2.394787108070568e-06,2.3953591341324503e-06,true
16,V-48,15.97,d,16.238,1380000.0,1379808.0,5.023504578607642e-07,5.02240386392238e-07,true
17,V-49,330.0,d,330.0,28500000.0,28512000.0,2.4310717612231527e-08,2.4310717612231498e-08,true
18,Cr-51,27.7,d,27.704,2390000.0,2393280.0,2.8962226758254166e-07,2.89596130747637e-07,true
19,Fe-52+,8.28,h,8.275,29800.0,29807.999999999996,2.3253729889960594e-05,2.32677804820391e-05,true
20,Fe-55,2.74,y,2.7,86300000.0,86408640.0,8.021734638572546e-09,8e-09,true
21,Fe-59,44.5,d,44.528999999999996,3840000.0,3844800.0,1.8028172611317762e-07,1.8030198476315103e-07,true
22,Co-57,271.74,d,270.9,23500000.0,23478336.000000004,2.9522840995202777e-08,2.9522840995202797e-08,true
23,Co-60,5.27,y,5.271,166000000.0,166194720.0,4.170693151743601e-09,4.16966458173293e-09,true
24,Ni-63,100.1,y,96.0,3160000000.0,3156753600.0,2.1957595314374402e-10,2.1957595314374397e-10,true
25,Cu-64,12.7,h,12.700999999999999,45700.0,45720.0,1.5160699487312889e-05,1.5160699487312899e-05,true
26,Cu-67,61.83,h,61.86,223000.0,222587.99999999997,3.114036608262554e-06,3.1139999999999997e-06,true
27,Zn-65,244.06,d,243.9,21100000.0,21086784.0,3.2871166156012474e-08,3.28711661560125e-08,true
28,Ga-67,3.26,d,3.2608333333,282000.0,281664.0,2.460900862587854e-06,2.46e-06,true
29,Ga-68,67.71,m,68.0,4060.0,4062.5999999999995,0.00017061664465119514,0.0001706166,true
30,Ge-68+,270.95,d,288.0,23400000.0,23410080.0,2.960891977130985e-08,2.9608919771309798e-08,true
31,As-72,26.0,h,26.0,93600.0,93600.0,7.4054185957259116e-06,7.405418595725909e-06,true
32,As-73,80.3,d,80.3,6940000.0,6937920.0,9.990705868040354e-08,9.99070586804035e-08,true
33,Se-75,119.78,d,119.8,10300000.0,10348992.0,6.697726508629491e-08,6.7e-08,true
34,Kr-85,10.76,y,10.72,339000000.0,339327360.0,2.042709378223864e-09,2e-09,true
